26-May-24 17:40:48 - root - INFO - Starting run.py
26-May-24 17:40:48 - root - INFO - Using default config path : config/default.toml
26-May-24 17:40:48 - root - INFO - Player 1 is using alpha_beta and Player 2 is using human
26-May-24 17:42:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:12] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:12] "GET /css/index.css HTTP/1.1" 200 4887 0.008525
26-May-24 17:42:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:12] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:42:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:12] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:42:36 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:36] "GET /index.html HTTP/1.1" 200 3311 0.000000
26-May-24 17:42:36 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:36] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:36 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:36] "GET /css/index.css HTTP/1.1" 200 4921 0.002001
26-May-24 17:42:36 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:36] "GET /js/index.js HTTP/1.1" 200 8565 0.001103
26-May-24 17:42:36 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:36] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:42:41 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:41] "GET /index.html HTTP/1.1" 200 3311 0.000999
26-May-24 17:42:41 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:41] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:41 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:41] "GET /css/index.css HTTP/1.1" 200 4927 0.009518
26-May-24 17:42:41 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:41] "GET /js/index.js HTTP/1.1" 200 8565 0.000998
26-May-24 17:42:41 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:41] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:42:48 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:48] "GET /index.html HTTP/1.1" 200 3311 0.001002
26-May-24 17:42:48 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:48] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:48 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:48] "GET /css/index.css HTTP/1.1" 200 4923 0.007002
26-May-24 17:42:48 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:48] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:42:48 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:48] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001012
26-May-24 17:42:53 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:53] "GET /index.html HTTP/1.1" 200 3311 0.001025
26-May-24 17:42:53 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:53] "GET /eel.js HTTP/1.1" 200 6267 0.001002
26-May-24 17:42:53 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:53] "GET /css/index.css HTTP/1.1" 200 4926 0.007511
26-May-24 17:42:53 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:53] "GET /js/index.js HTTP/1.1" 200 8565 0.000999
26-May-24 17:42:53 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:53] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:42:55 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:55] "GET /index.html HTTP/1.1" 200 3311 0.000000
26-May-24 17:42:55 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:55] "GET /eel.js HTTP/1.1" 200 6267 0.001002
26-May-24 17:42:55 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:55] "GET /css/index.css HTTP/1.1" 200 4925 0.007411
26-May-24 17:42:55 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:55] "GET /js/index.js HTTP/1.1" 200 8565 0.001002
26-May-24 17:42:55 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:55] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001001
26-May-24 17:42:58 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:58] "GET /index.html HTTP/1.1" 200 3311 0.001000
26-May-24 17:42:58 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:58] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:58 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:58] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:42:58 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:58] "GET /css/index.css HTTP/1.1" 200 4926 0.008191
26-May-24 17:42:58 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:58] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:43:06 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:06] "GET /index.html HTTP/1.1" 200 3311 0.001002
26-May-24 17:43:06 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:06] "GET /eel.js HTTP/1.1" 200 6267 0.000999
26-May-24 17:43:06 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:06] "GET /css/index.css HTTP/1.1" 200 4883 0.008193
26-May-24 17:43:06 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:06] "GET /js/index.js HTTP/1.1" 200 8565 0.000998
26-May-24 17:43:06 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:06] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:43:13 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:13] "GET /index.html HTTP/1.1" 200 3311 0.000508
26-May-24 17:43:13 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:13] "GET /eel.js HTTP/1.1" 200 6267 0.001002
26-May-24 17:43:13 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:13] "GET /css/index.css HTTP/1.1" 200 4883 0.007515
26-May-24 17:43:13 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:13] "GET /js/index.js HTTP/1.1" 200 8565 0.001000
26-May-24 17:43:13 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:13] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:43:35 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:35] "GET /index.html HTTP/1.1" 200 3290 0.009009
26-May-24 17:43:35 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:35] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:43:35 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:35] "GET /css/index.css HTTP/1.1" 200 4883 0.001510
26-May-24 17:43:35 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:35] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:43:35 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:35] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:43:44 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:44] "GET /index.html HTTP/1.1" 200 3290 0.000000
26-May-24 17:43:44 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:44] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:43:44 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:44] "GET /css/index.css HTTP/1.1" 200 4881 0.009518
26-May-24 17:43:44 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:44] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:43:44 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:44] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:43:47 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:47] "GET /index.html HTTP/1.1" 200 3290 0.001001
26-May-24 17:43:47 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:47] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:43:47 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:47] "GET /css/index.css HTTP/1.1" 200 4883 0.002003
26-May-24 17:43:47 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:47] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:43:47 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:47] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001000
26-May-24 17:43:59 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:59] "GET /index.html HTTP/1.1" 200 3290 0.001002
26-May-24 17:43:59 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:59] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:43:59 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:59] "GET /css/index.css HTTP/1.1" 200 4877 0.008506
26-May-24 17:43:59 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:59] "GET /js/index.js HTTP/1.1" 200 8565 0.001012
26-May-24 17:43:59 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:43:59] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000997
26-May-24 17:44:02 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:02] "GET /index.html HTTP/1.1" 200 3290 0.001000
26-May-24 17:44:02 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:02] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:44:02 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:02] "GET /css/index.css HTTP/1.1" 200 4875 0.008072
26-May-24 17:44:02 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:02] "GET /js/index.js HTTP/1.1" 200 8565 0.001005
26-May-24 17:44:02 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:02] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:44:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:12] "GET /index.html HTTP/1.1" 200 3290 0.000995
26-May-24 17:44:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:12] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:44:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:12] "GET /css/index.css HTTP/1.1" 200 4900 0.007527
26-May-24 17:44:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:12] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:44:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:12] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000999
26-May-24 17:44:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:17] "GET /index.html HTTP/1.1" 200 3292 0.011510
26-May-24 17:44:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:17] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:44:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:17] "GET /css/index.css HTTP/1.1" 200 4900 0.001510
26-May-24 17:44:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:17] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:44:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:17] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000997
26-May-24 17:44:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:21] "GET /index.html HTTP/1.1" 200 3292 0.001076
26-May-24 17:44:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:21] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:44:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:21] "GET /css/index.css HTTP/1.1" 200 4900 0.007998
26-May-24 17:44:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:21] "GET /js/index.js HTTP/1.1" 200 8565 0.001113
26-May-24 17:44:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:21] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001007
26-May-24 17:44:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:24] "GET /index.html HTTP/1.1" 200 3292 0.000999
26-May-24 17:44:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:24] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:44:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:24] "GET /css/index.css HTTP/1.1" 200 4900 0.000999
26-May-24 17:44:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:24] "GET /js/index.js HTTP/1.1" 200 8565 0.001001
26-May-24 17:44:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:44:24] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000995
26-May-24 17:46:30 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:46:30] "GET /index.html HTTP/1.1" 200 3292 0.010998
26-May-24 17:46:30 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:46:30] "GET /eel.js HTTP/1.1" 200 6267 0.001001
26-May-24 17:46:30 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:46:30] "GET /css/index.css HTTP/1.1" 200 4900 0.001000
26-May-24 17:46:30 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:46:30] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:46:30 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:46:30] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000998
26-May-24 17:54:04 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:04] "GET /index.html HTTP/1.1" 200 3292 0.001141
26-May-24 17:54:04 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:04] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:54:04 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:04] "GET /css/index.css HTTP/1.1" 200 6249 0.007066
26-May-24 17:54:04 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:04] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:54:04 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:04] "GET /js/index.js HTTP/1.1" 200 8565 0.001000
26-May-24 17:54:15 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:15] "GET /index.html HTTP/1.1" 200 3292 0.000999
26-May-24 17:54:15 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:15] "GET /eel.js HTTP/1.1" 200 6267 0.001012
26-May-24 17:54:15 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:15] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001001
26-May-24 17:54:15 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:15] "GET /css/index.css HTTP/1.1" 200 6249 0.005992
26-May-24 17:54:15 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:15] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:54:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:21] "GET /index.html HTTP/1.1" 200 3292 0.001003
26-May-24 17:54:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:21] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:54:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:21] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:54:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:21] "GET /css/index.css HTTP/1.1" 200 6264 0.007521
26-May-24 17:54:21 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:21] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:54:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:24] "GET /index.html HTTP/1.1" 200 3292 0.001006
26-May-24 17:54:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:24] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:54:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:24] "GET /css/index.css HTTP/1.1" 200 6264 0.006522
26-May-24 17:54:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:24] "GET /js/index.js HTTP/1.1" 200 8565 0.001000
26-May-24 17:54:24 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:24] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001004
26-May-24 17:54:29 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:29] "GET /index.html HTTP/1.1" 200 3292 0.001000
26-May-24 17:54:29 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:29] "GET /eel.js HTTP/1.1" 200 6267 0.000997
26-May-24 17:54:29 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:29] "GET /css/index.css HTTP/1.1" 200 6264 0.007526
26-May-24 17:54:29 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:29] "GET /js/index.js HTTP/1.1" 200 8565 0.001001
26-May-24 17:54:29 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:29] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:54:52 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:52] "GET /index.html HTTP/1.1" 200 3292 0.000997
26-May-24 17:54:52 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:52] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:54:52 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:52] "GET /css/index.css HTTP/1.1" 200 6282 0.009223
26-May-24 17:54:52 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:52] "GET /js/index.js HTTP/1.1" 200 8565 0.001008
26-May-24 17:54:52 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:52] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:54:56 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:56] "GET /index.html HTTP/1.1" 200 3292 0.001506
26-May-24 17:54:56 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:56] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:54:56 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:56] "GET /css/index.css HTTP/1.1" 200 6282 0.007504
26-May-24 17:54:56 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:56] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:54:56 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:54:56] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:55:00 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:00] "GET /index.html HTTP/1.1" 200 3292 0.000000
26-May-24 17:55:00 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:00] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:55:00 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:00] "GET /css/index.css HTTP/1.1" 200 6255 0.007527
26-May-24 17:55:00 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:00] "GET /js/index.js HTTP/1.1" 200 8565 0.000996
26-May-24 17:55:00 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:00] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:55:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:07] "GET /index.html HTTP/1.1" 200 3292 0.000000
26-May-24 17:55:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:55:07] "GET /eel.js HTTP/1.1" 200 6267 0.000000
